0.05	0.2866666667	0.8167241667	0.808067
0.05	0.4733333333	0.816364	0.778992
0.05	0.4933333333	0.7997226667	0.752419
0.05	0.4666666667	0.779826	0.766188
0.05	0.44	0.7658663333	0.733584
0.05	0.4333333333	0.7507303333	0.737285
0.05	0.3533333333	0.7456856667	0.764224
0.05	0.2866666667	0.745031	0.782161
0.05	0.2266666667	0.7612233333	0.7777375
0.05	0.2266666667	0.7747075	0.793238
0.05	0.2266666667	0.7843788333	0.79902
0.05	0.2266666667	0.7899985	0.7796375
0.05	0.2533333333	0.7906318333	0.7880235
0.05	0.28	0.7888936667	0.805967
0.05	0.3466666667	0.7912093333	0.8072545
0.05	0.4266666667	0.800415	0.8185155
0.05	0.5333333333	0.810579	0.8176625
0.05	0.6333333333	0.8144775	0.8105095
0.05	0.6933333333	0.8155625	0.8063465
0.05	0.72	0.8115061667	0.8177475
0.05	0.7333333333	0.8115345	0.790364
0.05	0.7533333333	0.8048193333	0.7878845
0.05	0.7466666667	0.7986653333	0.790391
0.05	0.72	0.7895465	0.781078
0.05	0.66	0.7864511667	0.7751765
0.05	0.62	0.7822151667	0.790109
0.05	0.5866666667	0.7821211667	0.791355
0.05	0.5666666667	0.7855468333	0.8004595
0.05	0.5266666667	0.7939745	0.796574
0.05	0.4466666667	0.7961295	0.7762465
0.05	0.38	0.7910933333	0.7796845
0.05	0.32	0.7841683333	0.785392
0.05	0.32	0.780441	0.80513
0.05	0.34	0.7900688333	0.8044665
0.05	0.3933333333	0.7983295	0.797658
0.05	0.4	0.8024181667	0.80675
0.05	0.38	0.8029581667	0.7984595
0.05	0.34	0.8009558333	0.7761305
0.05	0.3533333333	0.79378	0.7543915
0.05	0.34	0.7763271667	0.765902
0.05	0.3066666667	0.7654746667	0.7651405
0.05	0.2666666667	0.7618113333	0.773184
0.05	0.2866666667	0.7680755	0.7588985
0.05	0.3466666667	0.765741	0.774331
0.05	0.3533333333	0.7688045	0.7926865
0.05	0.3133333333	0.7753053333	0.8047665
0.05	0.2466666667	0.7905946667	0.805353
0.05	0.2266666667	0.8009353333	0.8189285
0.05	0.2466666667	0.8096826667	0.823024
0.05	0.2866666667	0.8157685	0.8275505
0.05	0.28	0.8231676667	0.8313375
0.05	0.28	0.827304	0.8370505
0.05	0.3066666667	0.8319795	0.8419685
0.05	0.3733333333	0.8367855	0.8457515
0.05	0.4133333333	0.8415901667	0.8537255
0.05	0.4133333333	0.8471485	0.834989
0.05	0.3866666667	0.844822	0.8152105
